score_id,run_id,method,model,variant,benchmark,protocol,split,task_count,pass_count,pass_rate,plus_pass_count,plus_pass_rate,metric_name,metric_value,result_completeness,validity_status,evidence_status,source_file,notes
6afb503a390d889e,flabpruner_qwen25c15b_official_keep80_20260730_015031,Flab-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/livecodebench/score/score_summary.json,variant inferred from score path
2414f0e8715adf17,flabpruner_qwen25c15b_official_keep80_20260730_015031,Flab-Pruner,Qwen/Qwen2.5-Coder-1.5B-Instruct,official_keep80,mbpp,r4_half,eval,224,1,0.004464285714285714,,,pass_rate,0.004464285714285714,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/mbpp_evalplus/score/score_summary.json,variant inferred from score path
f776bd428f7707fa,flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,official_keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/eval/humaneval/score/score_summary.json,variant inferred from score path
dd628be37e3db326,flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,official_keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/eval/livecodebench/score/score_summary.json,variant inferred from score path
c32d57792103e523,flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,official_keep80,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/eval/mbpp_evalplus/score/score_summary.json,variant inferred from score path
bf82264708b6d52b,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,benchmark_guided_keep80_lora_merged,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/benchguided_keep80_lora_merged/evalhalf/humaneval/score_summary.json,variant inferred from score path
6ca0450e8a10bf03,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,benchmark_guided_keep80_lora_merged,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/benchguided_keep80_lora_merged/evalhalf/livecodebench/score_summary.json,variant inferred from score path
a3dd03dc7a307a4c,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,benchmark_guided_keep80_lora_merged,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/benchguided_keep80_lora_merged/evalhalf/mbpp/score_summary.json,variant inferred from score path
3449df9bf7fc6a42,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,default_keep80_lora_merged,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/default_keep80_lora_merged/evalhalf/humaneval/score_summary.json,variant inferred from score path
4aa19799a3fa844b,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,default_keep80_lora_merged,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/default_keep80_lora_merged/evalhalf/livecodebench/score_summary.json,variant inferred from score path
350cb5c7b13dbfa4,llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022,LLM-Pruner,codellama/CodeLlama-7b-hf,default_keep80_lora_merged,mbpp,r4_half,eval,224,4,0.017857142857142856,,,pass_rate,0.017857142857142856,complete,valid,present,results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022/default_keep80_lora_merged/evalhalf/mbpp/score_summary.json,variant inferred from score path
